Max Fitness Individual,Average Fitness,Number of different genomes,Total objects placed,End Iteration
4,0.138,1097,72,10000
3,0.128,1098,70,10000
5,0.151,1098,74,10000
3,0.145,1100,69,10000
3,0.157,1100,73,10000
4,0.142,1100,73,10000
6,0.155,1100,74,10000
5,0.157,1100,74,10000
5,0.155,1097,73,10000
4,0.154,1098,75,6250
4,0.146,1096,72,10000
4,0.155,1098,74,10000
5,0.158,1100,75,9365
5,0.153,1097,73,10000
6,0.175,1100,75,9971
4,0.148,1099,73,10000
5,0.138,1097,66,10000
3,0.143,1096,73,10000
5,0.166,1098,72,10000
4,0.151,1096,75,8303
