Max Fitness Individual,Average Fitness,Number of different genomes,Total objects placed,End Iteration
6,0.219,1092,61,10000
5,0.225,1094,66,10000
5,0.278,1094,69,10000
5,0.278,1082,74,10000
7,0.235,1092,63,10000
5,0.203,1095,63,10000
5,0.24,1088,68,10000
6,0.282,1095,75,7654
6,0.258,1092,68,10000
6,0.28,1099,74,10000
6,0.272,1090,72,10000
6,0.243,1081,64,10000
12,0.256,1096,73,10000
5,0.231,1070,68,10000
6,0.266,1089,75,10062
7,0.22,1080,65,10000
3,0.251,1081,66,10000
8,0.232,1086,72,10000
5,0.238,1095,64,10000
3,0.273,1086,71,10000
