Generation,Time A,Time B,Time C,Distance
1,105.18,246.37,322.59,280.69
2,41.22,140.44,177.57,168.6
3,11.98,150.88,102.43,164.32
4,15.48,112.33,99.8,189.43
5,3.49,94.01,85.98,182.34
6,10.14,88.74,44.75,187.07
7,6.27,68.58,55.23,185.43
8,5.1,64.55,45.86,181.56
9,0.0,76.26,62.93,187.43
10,0.0,79.43,69.46,200.23

1,130.51,211.28,210.73,256.85
2,10.63,123.39,202.34,179.25
3,0.11,84.0,188.15,183.17
4,13.38,46.97,191.43,192.96
5,0.0,56.18,101.17,222.4
6,1.24,72.46,136.27,239.89
7,9.04,53.24,142.63,254.23
8,6.25,65.49,115.88,251.57
9,8.72,37.33,58.31,245.85
10,8.62,39.43,82.41,259.33

1,102.22,278.3,239.15,272.53
2,11.14,138.5,176.08,206.58
3,16.02,88.32,199.43,216.01
4,14.85,72.48,187.3,213.49
5,10.2,72.74,141.04,187.73
6,16.37,67.11,74.27,175.77
7,7.34,20.42,83.33,183.88
8,7.06,33.37,22.49,194.31
9,7.97,29.91,12.65,210.69
10,18.93,32.16,20.02,230.45

1,110.29,265.55,280.34,266.72
2,28.44,117.02,173.93,167.5
3,8.55,109.5,161.44,196.68
4,8.18,96.59,139.32,167.37
5,8.07,60.39,66.36,172.37
6,3.69,42.33,62.17,204.31
7,8.43,43.53,88.99,186.21
8,4.29,39.84,79.11,195.2
9,9.6,33.54,30.94,211.08
10,1.38,35.59,11.74,207.84

1,112.18,245.53,215.85,294.02
2,27.48,123.99,146.77,216.6
3,19.73,99.49,93.9,208.44
4,5.39,84.41,133.66,211.42
5,0.0,90.05,118.79,200.29
6,1.27,59.65,112.16,199.84
7,2.51,61.93,102.18,206.19
8,2.44,39.52,82.28,228.45
9,2.65,38.24,66.61,256.36
10,2.48,33.11,99.05,264.55

1,90.97,281.63,195.82,268.71
2,38.97,132.9,124.45,202.18
3,23.19,76.12,142.2,226.3
4,13.79,76.47,125.78,226.78
5,4.53,58.65,122.87,225.36
6,3.5,61.22,128.31,245.69
7,28.6,36.39,129.43,243.4
8,6.28,37.99,104.22,247.27
9,3.9,47.05,77.37,253.59
10,2.05,37.37,43.98,268.88

1,114.23,190.91,274.58,261.56
2,23.62,87.95,137.68,169.14
3,12.39,55.49,112.07,159.07
4,0.0,47.02,89.09,172.25
5,0.0,69.09,43.33,177.16
6,3.41,61.82,38.25,206.62
7,15.31,48.95,42.06,205.32
8,0.0,55.03,44.72,212.18
9,4.86,46.82,64.09,208.66
10,0.18,54.03,33.35,213.73

1,106.97,264.63,269.72,332.81
2,44.62,185.47,221.7,253.9
3,17.46,115.12,168.16,226.36
4,15.21,108.72,153.4,276.16
5,5.3,92.29,137.92,273.61
6,7.17,70.67,100.65,242.62
7,8.43,33.65,48.76,253.26
8,0.0,10.01,46.21,279.59
9,0.0,10.01,22.57,297.08
10,0.0,10.01,20.02,311.54

1,103.58,217.65,279.18,282.49
2,34.34,103.79,247.52,205.05
3,20.34,97.44,258.19,207.32
4,16.51,78.25,211.59,207.98
5,10.71,44.12,132.56,225.88
6,5.89,49.32,110.13,245.85
7,11.03,65.49,78.44,224.89
8,7.88,70.94,61.44,202.02
9,10.83,45.84,41.73,223.5
10,8.84,38.18,42.63,224.53

1,107.37,193.12,207.61,299.0
2,28.74,135.14,161.03,216.9
3,9.61,103.74,115.8,231.59
4,7.71,86.45,116.67,230.27
5,6.76,58.72,110.85,244.08
6,0.15,38.0,106.25,264.45
7,5.52,19.74,72.56,263.89
8,1.54,26.27,54.83,262.02
9,0.0,10.01,27.37,244.4
10,0.0,10.01,20.6,251.55

1,133.03,229.73,248.71,310.31
2,23.97,166.71,202.08,219.86
3,9.86,91.57,175.95,190.38
4,4.04,59.84,124.77,176.81
5,5.82,48.23,139.69,191.62
6,9.03,72.5,110.26,193.65
7,2.3,55.57,74.29,212.43
8,0.0,53.37,94.22,220.71
9,3.15,49.37,68.47,228.64
10,0.0,23.6,40.04,241.71

1,131.69,228.88,269.6,252.51
2,19.56,175.09,174.8,198.25
3,29.55,135.66,160.91,212.93
4,28.55,131.82,146.91,212.54
5,16.04,105.48,77.27,223.29
6,17.91,84.31,62.55,240.63
7,17.13,88.89,52.28,256.03
8,15.91,86.02,60.06,270.1
9,14.98,49.71,71.01,269.58
10,16.93,44.69,76.92,262.66

1,113.12,264.85,228.66,289.66
2,23.7,186.32,121.91,230.99
3,7.77,136.73,97.42,200.36
