Generation,Time A,Time B,Time C,Distance
1,269.2,189.08,68.04,216.8
2,19.78,19.55,48.05,141.16
3,9.1,36.1,20.22,172.94
4,15.42,25.04,32.29,205.04
5,0.55,10.02,50.58,223.22
6,0.0,0.0,45.91,243.85
7,6.61,19.17,53.82,229.89
8,0.0,10.01,43.54,211.46
9,0.0,3.57,5.73,215.7
10,0.0,7.04,16.63,243.2

1,288.07,155.11,64.62,247.41
2,50.38,83.32,4.2,185.75
3,8.06,54.93,0.0,212.3
4,0.0,24.86,0.0,222.2
5,0.0,3.18,0.0,241.23
6,1.4,8.01,0.0,258.34
7,2.53,9.12,0.0,280.26
8,4.5,4.38,0.0,299.84
9,5.85,6.4,0.0,313.56
10,5.2,7.42,0.0,319.95

1,261.73,160.63,77.64,262.49
2,33.6,72.49,56.31,161.54
3,22.78,69.48,59.27,192.74
4,31.64,55.39,20.25,214.8
5,21.73,16.04,31.35,216.5
6,19.95,0.0,38.84,220.27
7,27.55,0.0,18.11,227.12
8,19.61,0.0,19.43,260.81
9,17.45,0.0,16.18,272.5
10,24.21,0.0,18.17,279.95

1,195.53,182.85,56.44,272.69
2,71.05,66.67,44.46,209.33
3,22.45,31.68,23.98,231.26
4,30.71,23.48,25.4,220.98
5,26.72,10.01,10.01,205.51
6,8.37,10.01,10.01,219.24
7,4.54,10.01,10.01,232.71
8,7.22,10.01,10.01,227.88
9,1.28,10.01,10.01,235.89
10,3.81,10.01,10.01,223.99

1,254.78,183.27,44.88,251.82
2,38.39,85.37,70.33,172.83
3,27.53,45.19,10.07,200.55
4,18.99,41.48,10.01,216.94
5,13.57,70.19,12.38,250.42
6,10.51,46.52,19.67,224.12
7,5.47,16.84,0.0,237.97
8,2.98,13.47,0.0,240.13
9,2.94,16.95,0.0,239.87
10,0.0,17.09,0.0,237.17

1,270.43,172.22,52.02,172.47
2,20.94,35.09,48.76,142.41
3,7.8,43.57,41.7,174.39
4,3.12,39.16,29.84,192.97
5,2.71,19.55,38.86,196.13
6,3.85,10.01,37.45,222.97
7,3.92,10.01,20.02,228.74
8,5.53,10.01,20.02,235.94
9,2.99,10.01,20.02,249.31
10,3.54,10.01,20.02,266.09

1,263.62,161.97,67.7,274.94
2,58.89,71.79,28.83,178.31
3,23.93,10.01,10.01,187.85
4,12.02,10.01,10.01,211.76
5,15.1,31.52,10.01,239.12
6,7.05,16.72,10.01,256.27
7,1.23,10.01,10.01,280.14
8,4.11,10.01,10.01,283.08
9,6.1,10.01,10.01,272.62
10,4.46,10.01,10.01,273.83

1,246.46,165.16,87.81,245.57
2,43.69,88.39,35.57,145.62
3,25.01,23.54,0.0,156.74
4,34.39,9.95,2.65,183.7
5,7.78,18.57,10.01,196.33
6,7.54,21.18,15.48,193.51
7,9.06,19.16,14.33,215.85
8,11.01,15.33,18.15,206.47
9,10.83,10.89,0.0,222.45
10,12.04,9.24,0.0,230.45

1,237.36,189.55,63.06,228.17
2,54.7,63.04,44.29,155.42
3,30.18,64.19,31.39,175.67
4,15.48,27.11,39.42,201.4
5,11.59,20.78,46.67,204.25
6,5.59,17.94,44.49,250.1
7,6.79,23.17,34.25,279.73
8,13.58,28.09,27.39,280.28
9,5.4,26.98,0.0,281.57
10,7.21,27.71,17.58,280.44

1,250.51,182.9,81.92,272.84
2,36.65,124.58,42.65,174.75
3,10.84,91.08,10.01,191.05
4,3.84,30.03,10.01,220.49
5,11.29,37.38,10.01,259.36
6,1.31,10.01,10.01,270.55
7,10.38,11.9,10.01,292.22
8,7.04,10.39,10.01,314.87
9,8.42,24.0,10.01,320.47
10,15.48,8.39,10.01,316.32

1,309.37,163.76,54.8,225.42
2,41.9,63.31,38.67,185.72
3,10.56,55.4,39.47,188.63
4,0.0,43.92,41.21,202.28
5,0.0,22.54,43.5,207.44
6,1.26,10.01,50.05,248.5
7,1.29,20.02,56.48,263.39
8,1.29,19.94,30.54,274.61
9,4.41,19.99,30.03,297.29
10,3.91,25.96,30.6,280.7

1,285.92,175.77,75.54,246.28
2,50.14,115.2,65.09,145.54
3,7.33,61.9,40.04,177.43
4,6.37,50.05,40.04,221.67
5,2.18,56.58,40.04,234.43
