Max Fitness Individual,Average Fitness,Number of different genomes,Total objects placed,End Iteration
5,0.287,1097,61,10000
6,0.26,1080,59,10000
5,0.326,1081,66,10000
6,0.287,1088,66,10000
6,0.35,1097,70,10000
6,0.278,1093,57,10000
5,0.297,1092,63,10000
8,0.28,1090,56,10000
6,0.37,1089,71,10000
6,0.369,1094,72,10000
6,0.276,1058,56,10000
6,0.28,1092,62,10000
6,0.263,1093,57,10000
6,0.241,1085,55,10000
6,0.3,1079,65,10000
3,0.238,1093,54,10000
5,0.353,1092,70,10000
6,0.305,1069,69,10000
6,0.337,1095,66,10000
9,0.356,1095,69,10000
