Max Fitness Individual,Average Fitness,Number of different genomes,Total objects placed,End Iteration
8,0.257,1094,70,10000
8,0.286,1096,75,7848
6,0.207,1099,63,10000
4,0.271,1100,75,9259
5,0.254,1094,71,10000
7,0.271,1083,73,10000
5,0.272,1095,69,10000
5,0.182,1096,60,10000
5,0.212,1098,62,10000
5,0.221,1094,60,10000
6,0.27,1097,70,10000
6,0.274,1090,72,10000
5,0.238,1092,67,10000
6,0.241,1085,65,10000
6,0.285,1100,75,8772
6,0.253,1085,64,10000
6,0.266,1092,68,10000
6,0.267,1094,71,10000
8,0.242,1080,66,10000
7,0.247,1099,71,10000
